Minutes5UTC;Minutes5DK;PriceArea;CO2Emission
2024-01-10 23:00;2024-01-11 00:00;DK2;89,000000
2024-01-10 23:05;2024-01-11 00:05;DK2;85,000000
2024-01-10 23:10;2024-01-11 00:10;DK2;85,000000
2024-01-10 23:15;2024-01-11 00:15;DK2;86,000000
2024-01-10 23:20;2024-01-11 00:20;DK2;86,000000
2024-01-10 23:25;2024-01-11 00:25;DK2;85,000000
2024-01-10 23:30;2024-01-11 00:30;DK2;85,000000
2024-01-10 23:35;2024-01-11 00:35;DK2;81,000000
2024-01-10 23:40;2024-01-11 00:40;DK2;80,000000
2024-01-10 23:45;2024-01-11 00:45;DK2;80,000000
2024-01-10 23:50;2024-01-11 00:50;DK2;79,000000
2024-01-10 23:55;2024-01-11 00:55;DK2;78,000000
2024-01-11 00:00;2024-01-11 01:00;DK2;74,000000
2024-01-11 00:05;2024-01-11 01:05;DK2;73,000000
2024-01-11 00:10;2024-01-11 01:10;DK2;71,000000
2024-01-11 00:15;2024-01-11 01:15;DK2;70,000000
2024-01-11 00:20;2024-01-11 01:20;DK2;70,000000
2024-01-11 00:25;2024-01-11 01:25;DK2;70,000000
2024-01-11 00:30;2024-01-11 01:30;DK2;69,000000
2024-01-11 00:35;2024-01-11 01:35;DK2;69,000000
2024-01-11 00:40;2024-01-11 01:40;DK2;66,000000
2024-01-11 00:45;2024-01-11 01:45;DK2;65,000000
2024-01-11 00:50;2024-01-11 01:50;DK2;65,000000
2024-01-11 00:55;2024-01-11 01:55;DK2;65,000000
2024-01-11 01:00;2024-01-11 02:00;DK2;64,000000
2024-01-11 01:05;2024-01-11 02:05;DK2;65,000000
2024-01-11 01:10;2024-01-11 02:10;DK2;63,000000
2024-01-11 01:15;2024-01-11 02:15;DK2;64,000000
2024-01-11 01:20;2024-01-11 02:20;DK2;63,000000
2024-01-11 01:25;2024-01-11 02:25;DK2;63,000000
2024-01-11 01:30;2024-01-11 02:30;DK2;63,000000
2024-01-11 01:35;2024-01-11 02:35;DK2;63,000000
2024-01-11 01:40;2024-01-11 02:40;DK2;62,000000
2024-01-11 01:45;2024-01-11 02:45;DK2;62,000000
2024-01-11 01:50;2024-01-11 02:50;DK2;61,000000
2024-01-11 01:55;2024-01-11 02:55;DK2;61,000000
2024-01-11 02:00;2024-01-11 03:00;DK2;61,000000
2024-01-11 02:05;2024-01-11 03:05;DK2;62,000000
2024-01-11 02:10;2024-01-11 03:10;DK2;61,000000
2024-01-11 02:15;2024-01-11 03:15;DK2;61,000000
2024-01-11 02:20;2024-01-11 03:20;DK2;62,000000
2024-01-11 02:25;2024-01-11 03:25;DK2;61,000000
2024-01-11 02:30;2024-01-11 03:30;DK2;61,000000
2024-01-11 02:35;2024-01-11 03:35;DK2;62,000000
2024-01-11 02:40;2024-01-11 03:40;DK2;62,000000
2024-01-11 02:45;2024-01-11 03:45;DK2;62,000000
2024-01-11 02:50;2024-01-11 03:50;DK2;61,000000
2024-01-11 02:55;2024-01-11 03:55;DK2;61,000000
2024-01-11 03:00;2024-01-11 04:00;DK2;60,000000
2024-01-11 03:05;2024-01-11 04:05;DK2;60,000000
2024-01-11 03:10;2024-01-11 04:10;DK2;60,000000
2024-01-11 03:15;2024-01-11 04:15;DK2;60,000000
2024-01-11 03:20;2024-01-11 04:20;DK2;59,000000
2024-01-11 03:25;2024-01-11 04:25;DK2;59,000000
2024-01-11 03:30;2024-01-11 04:30;DK2;60,000000
2024-01-11 03:35;2024-01-11 04:35;DK2;60,000000
2024-01-11 03:40;2024-01-11 04:40;DK2;60,000000
2024-01-11 03:45;2024-01-11 04:45;DK2;59,000000
2024-01-11 03:50;2024-01-11 04:50;DK2;60,000000
2024-01-11 03:55;2024-01-11 04:55;DK2;60,000000
2024-01-11 04:00;2024-01-11 05:00;DK2;62,000000
2024-01-11 04:05;2024-01-11 05:05;DK2;62,000000
2024-01-11 04:10;2024-01-11 05:10;DK2;64,000000
2024-01-11 04:15;2024-01-11 05:15;DK2;66,000000
2024-01-11 04:20;2024-01-11 05:20;DK2;66,000000
2024-01-11 04:25;2024-01-11 05:25;DK2;66,000000
2024-01-11 04:30;2024-01-11 05:30;DK2;67,000000
2024-01-11 04:35;2024-01-11 05:35;DK2;67,000000
2024-01-11 04:40;2024-01-11 05:40;DK2;67,000000
2024-01-11 04:45;2024-01-11 05:45;DK2;67,000000
2024-01-11 04:50;2024-01-11 05:50;DK2;67,000000
2024-01-11 04:55;2024-01-11 05:55;DK2;66,000000
2024-01-11 05:00;2024-01-11 06:00;DK2;67,000000
2024-01-11 05:05;2024-01-11 06:05;DK2;67,000000
2024-01-11 05:10;2024-01-11 06:10;DK2;70,000000
2024-01-11 05:15;2024-01-11 06:15;DK2;71,000000
2024-01-11 05:20;2024-01-11 06:20;DK2;72,000000
2024-01-11 05:25;2024-01-11 06:25;DK2;72,000000
2024-01-11 05:30;2024-01-11 06:30;DK2;67,000000
2024-01-11 05:35;2024-01-11 06:35;DK2;62,000000
2024-01-11 05:40;2024-01-11 06:40;DK2;61,000000
2024-01-11 05:45;2024-01-11 06:45;DK2;60,000000
2024-01-11 05:50;2024-01-11 06:50;DK2;62,000000
2024-01-11 05:55;2024-01-11 06:55;DK2;65,000000
2024-01-11 06:00;2024-01-11 07:00;DK2;76,000000
2024-01-11 06:05;2024-01-11 07:05;DK2;85,000000
2024-01-11 06:10;2024-01-11 07:10;DK2;88,000000
2024-01-11 06:15;2024-01-11 07:15;DK2;89,000000
2024-01-11 06:20;2024-01-11 07:20;DK2;89,000000
2024-01-11 06:25;2024-01-11 07:25;DK2;88,000000
2024-01-11 06:30;2024-01-11 07:30;DK2;88,000000
2024-01-11 06:35;2024-01-11 07:35;DK2;87,000000
2024-01-11 06:40;2024-01-11 07:40;DK2;87,000000
2024-01-11 06:45;2024-01-11 07:45;DK2;87,000000
2024-01-11 06:50;2024-01-11 07:50;DK2;86,000000
2024-01-11 06:55;2024-01-11 07:55;DK2;84,000000
2024-01-11 07:00;2024-01-11 08:00;DK2;82,000000
2024-01-11 07:05;2024-01-11 08:05;DK2;82,000000
2024-01-11 07:10;2024-01-11 08:10;DK2;80,000000
2024-01-11 07:15;2024-01-11 08:15;DK2;79,000000
2024-01-11 07:20;2024-01-11 08:20;DK2;79,000000
2024-01-11 07:25;2024-01-11 08:25;DK2;80,000000
2024-01-11 07:30;2024-01-11 08:30;DK2;81,000000
2024-01-11 07:35;2024-01-11 08:35;DK2;80,000000
2024-01-11 07:40;2024-01-11 08:40;DK2;81,000000
2024-01-11 07:45;2024-01-11 08:45;DK2;82,000000
2024-01-11 07:50;2024-01-11 08:50;DK2;82,000000
2024-01-11 07:55;2024-01-11 08:55;DK2;83,000000
2024-01-11 08:00;2024-01-11 09:00;DK2;84,000000
2024-01-11 08:05;2024-01-11 09:05;DK2;84,000000
2024-01-11 08:10;2024-01-11 09:10;DK2;85,000000
2024-01-11 08:15;2024-01-11 09:15;DK2;86,000000
2024-01-11 08:20;2024-01-11 09:20;DK2;86,000000
2024-01-11 08:25;2024-01-11 09:25;DK2;88,000000
2024-01-11 08:30;2024-01-11 09:30;DK2;88,000000
2024-01-11 08:35;2024-01-11 09:35;DK2;88,000000
2024-01-11 08:40;2024-01-11 09:40;DK2;88,000000
2024-01-11 08:45;2024-01-11 09:45;DK2;89,000000
2024-01-11 08:50;2024-01-11 09:50;DK2;90,000000
2024-01-11 08:55;2024-01-11 09:55;DK2;91,000000
2024-01-11 09:00;2024-01-11 10:00;DK2;91,000000
2024-01-11 09:05;2024-01-11 10:05;DK2;92,000000
2024-01-11 09:10;2024-01-11 10:10;DK2;93,000000
2024-01-11 09:15;2024-01-11 10:15;DK2;94,000000
2024-01-11 09:20;2024-01-11 10:20;DK2;94,000000
2024-01-11 09:25;2024-01-11 10:25;DK2;94,000000
